id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B)
39,2017,Delhi,02-05-2017,SRH,DC,DC,field,normal,0,DC,0,6,Mohammed Shami,Feroz Shah Kotla,YC Barde,Nitin Menon,,765,623,682,452,0.466666667,0.4375,66,62,0.599,-0.512,688,464,0.625,0.375
40,2017,Kolkata,03-05-2017,KKR,RPS,RPS,field,normal,0,RPS,0,4,RA Tripathi,Eden Gardens,KN Ananthapadmanabhan,A Nand Kishore,,623,477,560,707,0.550724638,0,41,74,0.642,0.176,691,0,1,0
41,2017,Delhi,04-05-2017,GL,DC,DC,field,normal,0,DC,0,7,RR Pant,Feroz Shah Kotla,M Erasmus,Nitin Menon,,650,623,518,452,0.75,0.4375,58,63,-0.412,-0.512,481,464,0.5,0.5
42,2017,Bangalore,05-05-2017,KXIP,RCB,RCB,field,normal,0,KXIP,19,0,Sandeep Sharma,M Chinnaswamy Stadium,CB Gaffaney,C ShamshuDCin,,637,477,580,852,0.40625,0.540983607,35,46,-0.009,-1.299,618.5,464,0.56,0.44
43,2017,Hyderabad,06-05-2017,RPS,SRH,SRH,field,normal,0,RPS,12,0,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,AK Chaudhary,,477,765,707,682,0,0.466666667,35,47,0.176,0.599,0,688,0.5,0.5
44,2017,Delhi,06-05-2017,MI,DC,DC,field,normal,0,MI,146,0,LMP Simmons,Feroz Shah Kotla,Nitin Menon,CK Nandan,,697,623,644,452,0.554054054,0.4375,60,35,0.784,-0.512,592.5,464,0.5,0.5
45,2017,Bangalore,07-05-2017,RCB,KKR,KKR,field,normal,0,KKR,0,6,SP Narine,M Chinnaswamy Stadium,AY Dandekar,C ShamshuDCin,,477,623,852,560,0.540983607,0.550724638,40,105,-1.299,0.642,464,691,0.5,0.5
46,2017,Chandigarh,07-05-2017,KXIP,GL,GL,field,normal,0,GL,0,6,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,VK Sharma,,637,650,580,518,0.40625,0.75,44,58,-0.009,-0.412,618.5,481,0.5,0.5
47,2017,Hyderabad,08-05-2017,MI,SRH,MI,bat,normal,0,SRH,0,7,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,M Erasmus,,697,765,644,682,0.554054054,0.466666667,36,43,0.784,0.599,592.5,688,0.5,0.5
48,2017,Chandigarh,09-05-2017,KXIP,KKR,KKR,field,normal,0,KXIP,14,0,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,S Ravi,,637,623,580,560,0.40625,0.550724638,41,61,-0.009,0.642,618.5,691,0.32,0.68
