id,season,team A,team B,Win_ratio_A,Win_ratio_B
294,2014,Gujarat Lions,Rajasthan Royals,0,0
295,2014,Gujarat Lions,Deccan Chargers,0,0
296,2014,Gujarat Lions,Kochi Tuskers Kerala,0,0
297,2014,Gujarat Lions,Pune Warriors,0,0
298,2014,Kolkata Knight Riders,Chennai Super Kings,0.33,0.67
299,2014,Kolkata Knight Riders,Rajasthan Royals,0.5,0.5
300,2014,Kolkata Knight Riders,Deccan Chargers,0.78,0.22
301,2014,Kolkata Knight Riders,Kochi Tuskers Kerala,0,1
302,2014,Kolkata Knight Riders,Pune Warriors,0.8,0.2
303,2014,Chennai Super Kings,Rajasthan Royals,0.62,0.38
304,2014,Chennai Super Kings,Deccan Chargers,0.6,0.4
305,2014,Chennai Super Kings,Kochi Tuskers Kerala,0.5,0.5
306,2014,Chennai Super Kings,Pune Warriors,0.67,0.33
307,2014,Rajasthan Royals,Deccan Chargers,0.78,0.22
308,2014,Rajasthan Royals,Kochi Tuskers Kerala,0.5,0.5
309,2014,Rajasthan Royals,Pune Warriors,1,0
310,2014,Deccan Chargers,Kochi Tuskers Kerala,1,0
311,2014,Deccan Chargers,Pune Warriors,0.75,0.25
312,2014,Kochi Tuskers Kerala,Pune Warriors,0,1
313,2013,Royal Challengers Bangalore,Sunrisers Hyderabad,0.5,0.5
314,2013,Royal Challengers Bangalore,Delhi Daredevils,0.45,0.55
315,2013,Royal Challengers Bangalore,Kings XI Punjab,0.5,0.5
316,2013,Royal Challengers Bangalore,Mumbai Indians,0.45,0.55
317,2013,Royal Challengers Bangalore,Rising Pune Supergiants,0,0
318,2013,Royal Challengers Bangalore,Gujarat Lions,0,0
319,2013,Royal Challengers Bangalore,Kolkata Knight Riders,0.5,0.5
320,2013,Royal Challengers Bangalore,Chennai Super Kings,0.42,0.58
321,2013,Royal Challengers Bangalore,Rajasthan Royals,0.55,0.45
322,2013,Royal Challengers Bangalore,Deccan Chargers,0.45,0.55
323,2013,Royal Challengers Bangalore,Kochi Tuskers Kerala,1,0
324,2013,Royal Challengers Bangalore,Pune Warriors,1,0
325,2013,Sunrisers Hyderabad,Delhi Daredevils,0,0
326,2013,Sunrisers Hyderabad,Kings XI Punjab,0,0
327,2013,Sunrisers Hyderabad,Mumbai Indians,0,0
328,2013,Sunrisers Hyderabad,Rising Pune Supergiants,0,0
329,2013,Sunrisers Hyderabad,Gujarat Lions,0,0
330,2013,Sunrisers Hyderabad,Kolkata Knight Riders,0,0
331,2013,Sunrisers Hyderabad,Chennai Super Kings,0,0
332,2013,Sunrisers Hyderabad,Rajasthan Royals,0,0
333,2013,Sunrisers Hyderabad,Deccan Chargers,0,0
334,2013,Sunrisers Hyderabad,Kochi Tuskers Kerala,0,0
335,2013,Sunrisers Hyderabad,Pune Warriors,0,0
336,2013,Delhi Daredevils,Kings XI Punjab,0.5,0.5
337,2013,Delhi Daredevils,Mumbai Indians,0.5,0.5
338,2013,Delhi Daredevils,Rising Pune Supergiants,0,0
339,2013,Delhi Daredevils,Gujarat Lions,0,0
340,2013,Delhi Daredevils,Kolkata Knight Riders,0.44,0.56
